Commodity_SCTG,Commodity_SCTG_desc,Commodity_Type,CostWeight,TimeWeight,SingleSourceMaxFraction
1,Live animals/fish,Innovative,0.2,0.8,0.8
2,Cereal grains,Semi-Functional,0.6,0.4,0.9
3,Other ag prods.,Semi-Innovative,0.4,0.6,0.9
4,Animal feed,Semi-Functional,0.6,0.4,0.9
5,Meat/seafood,Semi-Innovative,0.4,0.6,0.9
6,Milled grain prods.,Semi-Functional,0.6,0.4,0.9
7,Other foodstuffs,Semi-Innovative,0.4,0.6,0.9
8,Alcoholic beverages,Semi-Innovative,0.4,0.6,0.9
9,Tobacco prods.,Innovative,0.2,0.8,0.8
10,Building stone,Semi-Functional,0.6,0.4,0.9
11,Natural sands,Functional,0.8,0.2,1
12,Gravel,Functional,0.8,0.2,1
13,Nonmetallic minerals,Semi-Functional,0.6,0.4,0.9
14,Metallic ores,Semi-Innovative,0.4,0.6,0.9
15,Coal,Semi-Functional,0.6,0.4,0.9
16,Crude petroleum,Semi-Functional,0.6,0.4,0.9
17,Gasoline,Semi-Functional,0.6,0.4,0.9
18,Fuel oils,Semi-Functional,0.6,0.4,0.9
19,Coal-n.e.c.,Semi-Functional,0.6,0.4,0.9
20,Basic chemicals,Semi-Innovative,0.4,0.6,0.9
21,Pharmaceuticals,Innovative,0.2,0.8,0.8
22,Fertilizers,Semi-Innovative,0.4,0.6,0.9
23,Chemical prods.,Semi-Innovative,0.4,0.6,0.9
24,Plastics/rubber,Semi-Innovative,0.4,0.6,0.9
25,Logs,Functional,0.8,0.2,1
26,Wood prods.,Semi-Innovative,0.4,0.6,0.9
27,Newsprint/paper,Semi-Functional,0.6,0.4,0.9
28,Paper articles,Semi-Innovative,0.4,0.6,0.9
29,Printed prods.,Semi-Innovative,0.4,0.6,0.9
30,Textiles/leather,Innovative,0.2,0.8,0.8
31,Nonmetal min. prods.,Semi-Innovative,0.4,0.6,0.9
32,Base metals,Semi-Innovative,0.4,0.6,0.9
33,Articles-base metal,Semi-Innovative,0.4,0.6,0.9
34,Machinery,Innovative,0.2,0.8,0.8
35,Electronics,Innovative,0.2,0.8,0.8
36,Motorized vehicles,Innovative,0.2,0.8,0.8
37,Transport equip.,Semi-Innovative,0.4,0.6,0.9
38,Precision instruments,Innovative,0.2,0.8,0.8
39,Furniture,Semi-Innovative,0.4,0.6,0.9
40,Misc. mfg. prods.,Innovative,0.2,0.8,0.8
41,Waste/scrap,Functional,0.8,0.2,1
43,Mixed freight,Innovative,0.2,0.8,0.8
99,Unknown,Semi-Functional,0.6,0.4,0.9
